Facility Name,Facility Address,Nitrogen Oxides,PM10,PM2.5,Volatile Organic Compounds
GUNNISON ENERGY CORP - 17-13 WELL SITE,NW/4 SEC 17 T12S R89W,11.0627,0.03535,0.03535,1.03973
GUNNISON ENERGY CORP - 18-43 WELL SITE,NESE SEC 18 T12S R89W,11.0737,0.035385,0.035385,1.04076
GUNNISON ENERGY CORP- 18-31 WELL SITE,NE SEC 18 T12S R89W,11.0627,0.03535,0.03535,1.03973
GUNNISON ENERGY-RAGGED MOUNTAIN C.S.,SEC 30 T10S R90W,64.440448,0.688503,0.687056,55.323753
GUNNISON VALLEY HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
GYPSUM CREEK RANCH,Unknown,0.00283075,0.0103083,0.00711272,0.00655314
HALL-IRWIN CONST CO - THE SHORES PIT,SEC 1&2 T2N R68W,6.875,23.1875,6.6713135,4
HALLIBURTON ENERGY SVCS,16 MURRAY CT,2.66,0.18,0.18,0.21
HALLIBURTON ENERGY SVCS - BARITE STORAGE,1560 RIVER RD,3.1,0.82,0.736581,0.86
Harriet Alexander Field,Unknown,0.331489,0.57524963,0.44424035,0.7387381
HARRINGTON RANCH,Unknown,0.0034359,0.012512,0.00863325,0.00795406
HARSH INTERNATIONAL (WAS HYDRAULICS UNL),600 OAK AVE,5.1,0.15,0.143382,2.31
HAT-FIELD,Unknown,0.00355225,0.0129357,0.0089256,0.0082234
HAXTUN MUNI,Unknown,0.00858085,0.0148009,0.01139422,0.01881762
HAY FEVER FARM,Unknown,0.00306442,0.0111592,0.00769986,0.0070941
HECOX,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
HEER MORTUARY & CREMATORY,222 CAMERON ST,0.006,0.018,0.018,0.005
HEGMANN FUNERAL SERVICE; INC.,521 CENTER ALLEY,0.19995,0.0666,0.0567,0.15555
HELI-SUPPORT II,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
HELMERICKS SAND AND GRAVEL,995 HIGHWAY 3,1.01745,0.109363,0.035027,0.02604
HENDERSON,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
HENDERSON MINE,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
HENDRICKS FIELD AT WEST CREEK RANCH,Unknown,0.0031577,0.0114989,0.00793423,0.00731003
HERMAN L. LOEB - EVANS Q-1  WAS MARATHON,SENW SEC 24 T16S R42W,3.4,0.025,0.025,0.2
HERMAN L. LOEB - EVANS Q-2  WAS MARATHON,SW NW SEC 24 T16S R42W,3.4,0.025,0.025,0.2
HERMAN L. LOEB - EVANS Q-3 (WAS MARATHON,NWSW SEC 24 T16S R42W,3.4,0.025,0.025,0.2
HERMAN L. LOEB - EVANS Q-4 (WAS MARATHON,SWSW SEC 24 T16S R42W,3.4,0.025,0.025,0.2
HERMAN L. LOEB - EVANS R-1  WAS MARATHON,NESE SEC 23 T16S R42W,3.4,0.025,0.025,0.2
HERMAN L. LOEB - FUNK TRUST 2,SE NE SEC 13 T16S R42W,7.2,0.06,0.06,0.100002
HERMAN L. LOEB - KRISS 2 (WAS MARATHON),NENE SEC 26 T16S R42W,4.8,0.035,0.035,0.299999
HERMAN L. LOEB - KRISS 3 (WAS MARATHON),SENE SEC 26 T16S R42W,3.4,0.025,0.025,0.2
HERMAN L. LOEB - KRISS A-1 (WAS MARATHON,SENW SEC 18 T16S R41W,7.1,0.055,0.055,0.100001
HERMAN L. LOEB - KRISS A-3  WAS MARATHON,NWSW SEC 18 T16S R41W,3.4,0.025,0.025,0.2
HERMAN L. LOEB - TALBERT 4 WAS MARATHON,SW NE SEC 18 T16S R41W,3.4,0.025,0.025,0.2
HERMAN L. LOEB - TEAGUE 3  WAS MARATHON,SW SE SEC 13 T16S R42W,3.4,0.025,0.025,0.1
HERMAN LOEB - KRISS A-5 (WAS MARATHON),SEC 18 T16S R41W,3.15336,0.009385,0.009385,0.177377
HERMAN LOEB- KRIS A-6 (WAS MARATHON OIL),KRIS A6 SEC 18 T16S R41W,3.20322,0.02,0.02,0.728006
HERMOSA VETERINARY CLINIC,5495 FEDERAL BLVD,0.10413,0.206213,0.17556,0.002984
HERRICK,Unknown,0.00366372,0.0133416,0.0092057,0.00848147
HEWLETT-PACKARD CORPORATION,301-305 ROCKRIMMON BLVD S,3.9937,0.049,0.0276957,1.5728
HIGH MESA,Unknown,0.00299325,0.0109,0.00752102,0.00692933
HIGHLINE FARM AIRSTRIP,Unknown,0.00306442,0.0111592,0.00769986,0.0070941
HILCORP ENERGY - ANNE STATE 6 PUMP STN,NWSE SEC 7 T3N R61W,1.69471,0.01175,0.01175,10.168596
HILCORP ENERGY - F QUARTER CIRCLE 1,NWSW SEC 8 T3N R61W,3.05793,0.0094,0.0094,6.425157
HILCORP ENERGY - HSR LONNIE 11-8 PUMP,NESW4 SEC 8 T2S R61W,1.69471,0.01175,0.01175,0.051133
HILCORP ENERGY - HSR LONNIE 7-8 PUMP STA,SWNE SEC 8 T2S R61W,2.48864,0.00765,0.00765,0.033332
HILCORP ENERGY - HSR LOST CREEK 12-14 PU,NWSW SEC 14 T3N R62W,3.82594,0.01175,0.01175,0.051196
HILCORP ENERGY - HSR MARRS 3-10 PUMP,NENW SEC 10 T6S R62W,2.492,0.011,0.011,0.033
HILCORP ENERGY - HSR NAZARENUS 16-8 PUMP,SESE SEC 8 T2S R64W,9.34,0.023825,0.023825,0.12
HILCORP ENERGY - HSR O'BRIEN 14-27 PUMP,SESW SEC 27 T4S R63W,1.69471,0.01175,0.01175,0.051196
HILCORP ENERGY - HSR WHITEHEAD 14-9 PUMP,SESW SEC 9 T6S R62W,3.05793,0.0094,0.0094,0.040906
HILCORP ENERGY - JERI 1 PUMP STATION,NWSW SEC 21 T1S R58W,3.82242,0.01175,0.01175,0.051196
HILCORP ENERGY - KELTON A-2 PUMP STATION,SWSW SEC 5 T2S R64W,2.86275,0.0088,0.0088,0.038343
HILCORP ENERGY - KELTON A-3 PUMP STATION,SESW SEC 5 T2S R64W,3.833,0.0165,0.0165,3.2023
HILCORP ENERGY - KUGEL 1 PUMP STATION,SENW SEC 30 T1S R63W,1.69832,0.011775,0.011775,1.256905
HILCORP ENERGY - LOST CREEK STATE 1 PUM,SENW SEC 36 T4N R62W,1.69976,0.011785,0.011785,0.051349
HILCORP ENERGY - LOST CREEK STATE 7 PUM,SWSW SEC 36 T4N R62W,3.05793,0.0094,0.0094,0.040957
HILCORP ENERGY - LOST CREEK/STATE 14-11,SESW SEC 11 T3N R62W,3.82242,0.01175,0.01175,0.051196
HILCORP ENERGY - LOST CREEK/STATE 3-14,NENW SEC 14 T3N R62W,3.82242,0.01175,0.01175,0.051196
HILCORP ENERGY - STATE 2-12 PUMP STN,SENE SEC 12 T3N R62W,3.82228,0.01175,0.01175,0.893746
HILCORP ENERGY - STATE 26-2 PUMP STN,SESE SEC 26 T4N R62W,3.82242,0.01175,0.01175,1.455446
HILCORP ENERGY - STATE 8-7 PUMP STATION,SESW SEC 7 T3N R61W,3.066,0.013,0.013,8.04875
HILCORP ENERGY - VERA 1 PUMP STATION,NWSW SEC 5 T3N R61W,1.69471,0.01175,0.01175,2.811746
HILDEBRANDT,Unknown,0.00277972,0.0101225,0.00698451,0.00643502
HILLSTONE DBA CHERRY CREEK GRILL,184 STEELE ST,0.1248,1.6608,0.946026,10.992
HILLSTONE RESTAURANT- HOUSTON'S,303 JOSEPHINE ST,0.09464,1.25944,1.25944,8.3356
HILLTOP,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
HOLCIM (US) INC. PORTLAND PLANT,3500 HWY 120,936.75,89.781838,86.508776,132.8
HOLLY,Unknown,0.0493673,0.0837173,0.0646662,0.1081701
HOLT FAMILY FUNERAL HOMES,1704 CHESTNUT ST,0.712,1.489,1.267662,0.06
HOLT FAMILY FUNERAL HOMES,930 HANCOCK EXPY,1.024,2.230138,2.010452,0.1275
Holyoke,Unknown,0.2243478,0.39099562,0.30257363,0.5053918
HONEYWELL; INC.,6945 INDIANA CT STE 100,1.524,0.03,0.03,0.08
HOOD MORTUARY,900 CEMETERY RD,0.15733,0.074026,0.065003,0.138486
Hopkins Field,Unknown,0.0596271,0.10695562,0.08389743,0.1441668
HORSESHOE LANDINGS,Unknown,0.00306442,0.0111592,0.00769986,0.0070941
HORTON FEEDLOTS; INC. - LASALLE,15972 COUNTY ROAD 51,2.51899,0.177072,0.177072,0.205632
HOSPITAL COOPERATIVE LAUNDRY,6225 E 38TH AVE,0.55,0.0418,0.0418,0.03025
HOUSTON,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
HOY AIRSTRIP,Unknown,0.00328412,0.0119593,0.00825189,0.0076027
HUBBARD,Unknown,0.00294092,0.0107095,0.00738955,0.0068082
HUERFANO AG,Unknown,0.00295522,0.0107616,0.00742548,0.0068413
HUMANA/NORTH SUBURBAN MEDICAL CENTER,9191 GRANT ST,3.535175,0.1074,0.1074,0.187908
HUMANE SOCIETY OF FREMONT CNTY,110 RHODES AVE,0.2136,0.5526,0.470457,0.018
HUMANE SOCIETY OF WELD COUNTY,1620 42ND ST,0.854,2.01,1.71122,0.854
IBM,6300 DIAGONAL HWY,107.5182,12.495103,11.256704,4.039699
IBM BUILDING 910,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
IDLER BRO'S,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
IDLERS FLD,Unknown,0.00278168,0.0101296,0.00698941,0.00643953
IMI NORGREN,5400 S DELAWARE ST,1.4,0.042,0.042,0.0742
IMPERIAL FUNERAL HOME & CEMETERY,5450 W STATE HIGHWAY 78,0.22492,0.18144,0.18144,0.2714
INDIAN HILLS/FIRE DEPARTMENT,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
INDUSTRIAL INSULATION GROUP; LLC,1110 16 RD,19.67,6.448494,4.731587,0.303666
INDUSTRIALEX MANUFACTURING; CORP.,6250 JOYCE DR,0.0089,4.0152,4.004471,33.67075
INLAND TECHNOLOGIES INTL LTD - DIA,25701 E 88TH AVE,2.03654,0.355738,0.355738,0.223948
INSULFOAM LLC,12601 E 33RD AVE STE 114,5.9,0.45,0.45,49.27
INTEGRATED POWER SERVICES,1020 S LIPAN ST,0.041,0.008,0.004557,0.008
INTEL CORPORATION - FT COLLINS,4701 TECHNOLOGY PKWY,9.45,0.53,0.496875,1.23
INTERNATIONAL PAPER-CORRUGATED BOX PLANT,4565 INDIANA ST,0.174173,0.295123,0.1056156,4.1911
INTERSTATE BRANDS CORP DENVER BAKERY,80 E 62ND AVE,1.2957,0.116265,0.109936,48.6437
INTERTAPE POLYMER CORP (IPG),1095 S 4TH AVE,28.8,2.1844,2.1844,100.182
J & S,Unknown,0.00328412,0.0119593,0.00825189,0.0076027
J-W OPERATING CO- BIG HOLE FEDERAL,SWSW SEC 10 T10N R94W,17.86623,0.002,0.002,3.08208
J. ALEXANDER'S RESTAURANT,9709 E COUNTY LINE RD,0.0832,1.1072,0.630684,7.27075
J.W. REFFEL METALS FOUNDRY INC,2650 S TEJON ST,0.21,0.0045,0.0045,0.0042
JACKRABBIT STRIP,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
JACKSON AIRFIELD,Unknown,0.00278168,0.0101296,0.00698941,0.00643953
JAKE KAUFFMAN & SON; INC. - KAUFFMAN PIT,808 S COUNTY ROAD 9 E,25.78,32.12,9.685215,2.82
JASPER RIDGE RANCH,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
JBS FIVE RIVERS CATTLE - KUNER FEEDLOT,28625 US HIGHWAY 34,37.26,15.617666,13.4836046,0.34
JBS FIVE RIVERS CATTLE - YUMA FEEDLOT,38002 COUNTY RD N,18.94,17.110532,6.563204,0.78
JBS FIVE RIVERS CATTLE FEEDING -GILCREST,22777 COUNTY ROAD 31,19.0774,0.5474,0.5474,1.70397
JBS FIVE RIVERS CATTLE FEEDING- CO BEEF,2258 US HIGHWAY 50,10.9325,0.83087,0.83087,0.601288
JECAN,Unknown,0.00300495,0.0109426,0.00755042,0.00695641
Jeffco,Unknown,4.743500149,7.578030003,5.965675499,9.875767781
JEFFERSON CNTY R 1 SCHOOLS,809 QUAIL ST BLDG 4,2.07627,0.020759,0.020759,0.045301
JEFFERSON CNTY SCHOOLS - ARVADA HS,7951 W 65TH AVE,0.226976,0.003209,0.003209,0.001604
JEFFERSON CNTY SCHOOLS - BELL MS,1001 ULYSSES ST,0.173528,0.004794,0.004794,0.004004
JEFFERSON CNTY SCHOOLS - O'CONNELL MS,1275 S TELLER ST,0.170221,0.006394,0.006394,0.006394
JETTA OPERATING CO.; INC. - CRAIG 1-7,NENW SEC 7 T6N R90W,10.8177,0.0215,0.0215,0.660631
JETTA OPERATING COMPANY; INC.,SW SW SEC 26 T25S R45W,4.1,0.0131,0.0131,0.100001
JIM'S,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
JJS,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
JOHNS MANVILLE INT. (WAS SCHULLER INTERN,10100 W UTE AVE,4.11,0.32,0.32,0.226
JOHNSON & WALES UNIVERSITY,7110 MONTVIEW BLVD,19.344068,1.441611,1.43286,1.14484
JOHNSON DAIRY,23016 WELD COUNTY RD 74,1.46434,0.061398,0.061398,0.110516
JUBILEE VENTURE - EAGLE MINE,SENE SEC 2 T10N R92W,8.64094,2.826248,1.204756,0.699637
Julesburg Muni,Unknown,0.00858085,0.0148009,0.01139422,0.01881762
JVJ INC; DBA HORAN & MCCONATY FUNERAL SV,3020 FEDERAL BLVD,0.6942,0.73905,0.629191,0.0585
JVJ; INC. DBA HORAN & MCCONATY FUNERAL S,3201 S PARKER RD,0.72,4.65,3.95879,0.1
K.B.P. COIL COATERS INC,3600 E 44TH AVE,2.47,0.134639,0.134639,3.266908
K2 HELIPORT NR 1A,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
KAISER PERMANENTE - LOWRY CONTACT CENTER,7901 E LOWRY BLVD,5.00672,0.100138,0.100138,1.04346
KAUFFMAN,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
KCNC-TV CBS 4,1044 LINCOLN ST,9.75333,0.417838,0.415154,0.375815
KELGUN,Unknown,0.00331922,0.0120871,0.00834009,0.00768395
KELLOGG AIRSTRIP,Unknown,0.00333548,0.0121463,0.00838092,0.00772157
KELLY AIR PARK,Unknown,0.0145015,0.0528078,0.0364374,0.0335707
KENT,Unknown,0.00301958,0.0109959,0.00758717,0.00699027
KERR-MCGEE - BROTEMARKLE EARL V 1 PUMP,SWSW SEC 24 T3N R66W,6.34,0.023825,0.023825,0.08
KERR-MCGEE - CHAMPLIN 86 AMOCO O8 PUMP,NESW SEC 4 T1N R68W,6.7,0.023825,0.023825,0.09
KERR-MCGEE - HSR AILAND 8-24 PUMP,SENE SEC 24 T1N R63W,11.17,0.02234,0.02234,0.15
KERR-MCGEE - HSR CERVI FEDERAL 3-29 PUMP,NENW SEC 29 T3N R62W,16.54,0.031275,0.031275,0.22
KERR-MCGEE - HSR CERVI STATE 7-19 PUMP,SWNE SEC 19 T3N R62W,8.12,0.023825,0.023825,0.11
KERR-MCGEE - HSR LINK 6-13 PUMP STATION,SENW SEC 13 T1N R63W,7.5,0.017125,0.017125,0.67129
KERR-MCGEE - HSR R. HUGHES 15-13 PUMP,SWSE SEC 13 T1N R63W,10.35,0.02234,0.02234,0.13
KERR-MCGEE - HSR SHOENEMAN 1-24 PUMP,NENE SEC 24 T1N R63W,10.71,0.02234,0.02234,0.14
KERR-MCGEE - HSR WUYTS 13-19 PUMP,SWSW SEC 19 T1N R62W,11.67,0.023825,0.023825,0.15
KERR-MCGEE 35005843,SENW-5-5N-67W,1.386019,0.03,0.03,10.91263
KERR-MCGEE Brighton Station,"12900 Powhaton Road, Brighton,",27.7,0.59,0.39,57.83025
KERR-MCGEE GATHERING - DRAGOON CS,NWNW SEC 8 T5S R62W,87.2,0.225,0.225,47.0696
KERR-MCGEE GATHERING - FREDERICK CS,3988 WCR 19,277.4169,5.5055,5.5055,229.22863
KERR-MCGEE GATHERING - IONE CS,SW/4 SEC 3 T2N R66W,40.7,0.53705,0.53705,22.71
KERR-MCGEE GATHERING - KALLSEN CS,NE NW SEC 16 T2S R62W,16.57,0.2548,0.2548,67.65258
KERR-MCGEE GATHERING - MITCHELL CS,NE NE SEC 32 T4S R63W,26.93,0.24065,0.24065,24.22
KERR-MCGEE GATHERING - RADAR CS,NW SEC 34 T2S R64W,23.19,0.2042,0.2042,21.53643
KERR-MCGEE GATHERING - STATE C.S.,NW SW SEC 16 T1S R65W,20.5,0.3776,0.3776,18.61854
KERR-MCGEE GATHERING - THIRD CREEK CS,NE NW SEC 18 T2S R65W,12.1506,0.1565,0.1565,7.655409
KERR-MCGEE Hudson Station,"SW1/4, SW1/4 Sec 23, T2N, R65W",260.635,0.104,0.104,108.3601
KEYSTONE RESORTS MGMT INC,"0284 N PEAK RD, CNTY RD 179",0.023409,0.19278,0.109811,0.17901
KIEWIT - AURORA ASPHALT PLANT,2401 PICADILLY RD,22,11.58508,0.197613,16.24
KIEWIT - COLORADO SPRINGS ASPHALT PLANT,3527 WABASH ST,15.125,10.99356,2.57661,8.8
KIEWIT - SEDALIA ASPHALT PLANT,6055 PETERSON RD,1.829,1.384,0.3244,1.6982
KIEWIT WESTERN - UNION STATION,1700 WEWATTA ST,0.139824,0.007548,0.007076,0.008349
KIND COFFEE; LLC,552 W ELKHORN AVE,0.01,0.02,0.001333,0.001741
KINDER MORGAN CO2 CO. -HOVENWEEP CENTRAL,SW SEC  6 T37N R18W,8.602,0.42228,0.35208,2.13294
KINDER MORGAN CO2 CO. -YELLOW JACKET H10,NW SEC 13 T37N R18W,9,0.42228,0.38718,2.13294
KINDER MORGAN TREATING - MEEKER PLANT,NW/4 SEC 32 T2N R96W,44.962108,1.560415,1.399472,26.29941
KING SOOPERS; INC.,60 YUMA ST,12.3469,0.684168,0.684168,50.87083
Kit Carson County,Unknown,0.31501834,0.49308,0.38828118,0.63267508
KLK INC. - IOWA AVE,513 IOWA AVE,5.97477,0.704968,0.600176,0.813629
KMCGEE FT LUPTON/PLATTE VALLEY/LANCASTER,16116 COUNTY ROAD 22,551.769446,13.78,13.78,276.60038
KMG ELECTRONIC CHEMICALS; INC,250 WILLIAM WHITE BLVD,1.3905,0.12204,0.12204,1.2584
KMIGT - ROCKPORT,SW NW SEC 5 T11N R66W,1.04,0.04,0.04,0.19
KOCH - WRD FEDERAL 01,SW NE SEC 31 T2N R96W,2.1,0.0195,0.0195,0.5
KOCH - WRD UNIT 29-33,NWSE SEC 29 T2N R96W,3.4,0.021,0.021,0.1
KOENIG,Unknown,0.00299845,0.010919,0.00753409,0.00694137
KOPPERS INDUSTRIES INC,465 W 56TH AVE,17.6,1.4806,1.42443,7.58925
KOSTROSKI,Unknown,0.00310245,0.0112977,0.00779541,0.00718212
KUGEL-STRONG,Unknown,0.00349798,0.012738,0.00878923,0.00809776
KURT MANUFACTURING CO,32500 EXCELLENCE AVE,2.75,0.0825,0.0825,0.14575
KUSA HELISTOP,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LA JUNTA,Unknown,88.3068,2.26771,2.19968,5.51
La Junta Muni,Unknown,0.2386014,0.4403874,0.3499274,0.617093
LA JUNTA MUNI UTILITIES,W 1ST ST AT BELLEVIEW AVE,0.0889,0.0047,0.0047,0.0047
LA PLATA COUNTY HUMANE SOCIETY,1111 CAMINO DEL RIO,0.07,0.035,0.029797,0.001
LAFARGE WEST - VOLLMER CONCRETE PLANT,8355 VOLLMER RD,0.07,4.74599,1.39791562,0.00119
LAFARGE WEST; INC.,1151 QUIVAS ST,4.2926,15.396094,4.758444,0.236022
LAFARGE WEST; INC.,18401 W COLFAX AVE,23.375,17.9725,6.612538,20.4425
LAFARGE WEST; INC.,615 SANTA FE DR,11,6.32,1.481245,6.4
LAFARGE WEST; INC. - 35TH AVE PLANT,925 N 35TH AVE,8.07944,19.247184,2.803452,5.9641
LAFARGE WEST; INC. - FILLMORE,1300 W FILLMORE ST,6.4119,11.092274,2.599754,5.01294
LAFARGE WEST; INC. - GORDON ASPHALT,6395 PECOS ST,22.416679,21.869954,5.897567,12.920099
LAFARGE WEST; INC. - GYPSUM RANCH,11580 - 11589 HWY 6,17.60374,10.045973,3.527931,2.3075
LAFARGE WEST; INC. - LIMON ASPHALT PLANT,21860 U.S. HWY 40/287 EAST,0.136999,0.152648,0.03629,0.190505
LAFARGE WEST; INC. - MCCOY QUARRY,0054 MCCOY RD,0.121,19.751584,6.199027,0.01
LAFARGE WEST; INC. - POWERS PIT,14156 B HWY 82,14,37.1168,12.071798,1.14
LAFARGE WEST; INC. - SIEVERS PIT,3794 County Road 109,12.669,15.2728,6.060102,2.2125
LAFARGE WEST; INC. - STROMQUIST,8751 COUNTY ROAD 5,3.15648,3.67079,0.860342,1.91103
LAFARGE WEST;-COLORADO AVE FACILITY.,2000 COLORADO AVE,0.207128,1.140853,0.26804,0.25899
LAKE CEDAR GROUP COMMUNICATIONS FACILITY,21119 CEDAR LAKE RD,7.02723,0.09093,0.09093,0.14056
LAKE CNTY,COUNTY RD 11A,0.66,0.06465,0.02521,0.0942
Lake County,Unknown,0.37870127,0.79339655,0.67733309,1.33770704
LAKE CREEK RANCH,Unknown,0.00369135,0.0134422,0.00927511,0.00854542
LAKEWOOD BRICK & TILE CO,1325 JAY ST,5.671185,18.23,11.4989,0.971185
LAMAR LIGHT & POWER/ARKANSAS RIVER POWER,100 N 2ND ST,54.3648,13.2744,13.2744,2.8526
Lamar Muni,Unknown,0.9258159,1.248318,1.0757334,1.8331133
LAND,Unknown,0.00436475,0.0158944,0.0109671,0.0101043
LAND O' LAKES PURINA FEED LLC-HENDERSON,9200 E 90TH AVE,1.042,2.5444,0.432017,0.0212
LAND O' LAKES PURINA FEED; LLC,6151 BRIGHTON BLVD,0.99,4.77,0.559557,0.06
LANDS END,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LANDS END MICROWAVE,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LARIMER COUNTY NATURAL RESOURCES,5887 S TAFT HILL RD,36.0238,62.4405,61.38327,22.25797
LAS ANIMAS MUNI P&L,8TH ST AT MOORE AVE,0.795,0.0542,0.0542,0.0544
LAS ARENAS EARTH AND SKY OBSERVATORY,Unknown,0.00278785,0.0101521,0.00700492,0.00645383
LATISYS - DENVER; LLC,393 INVERNESS PKWY,8.57528,0.08519,0.08519,0.255556
LAZY W,Unknown,0.0031187,0.0113569,0.00783624,0.00721974
LEACH,Unknown,0.0587203,0.1019893,0.0784082,0.1288172
LEMONS PRIVATE STRIP,Unknown,0.00311285,0.0113356,0.00782154,0.0072062
LEPRINO FOODS,2400 E BEAVER AVE,7.889,12.301639,8.990873,3.506
LEPRINO FOODS COMPANY,1302 1ST AVE,9.91914,17.624374,7.037406,3.186169
LEPRINO FOODS COMPANY,1830 W 38TH AVE,0.50245,0.038169,0.038169,0.027626
LEVEL 3 COMMUNICATIONS,1850 PEARL ST,1.46199,0.18209,0.18209,0.37
LEVEL 3 COMMUNICATIONS,9174 S JAMAICA ST,6.102672,0.18,0.18,0.16
LEVEL 3 COMMUNICATIONS; LLC,1025 ELDORADO BLVD,13.2,0.33,0.33,0.51
LEWIS NUT & BOLT CO.,30105 6TH AVE,15.075,0.268,0.268,0.0201
Limon Muni,Unknown,0.2505122,0.431978,0.33257,0.549361
LINCOLN COMMUNITY HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LITTLETON & ENGLEWOOD WWTP,2900 S PLATTE RIVER DR,83.69,1.185146,1.185146,67.04
LITTLETON HOSPITAL/PORTER,7700 S BROADWAY,2.8,0.21,0.21,0.2
LITTLETON HOSPITAL/PORTER - SEE 005-1481,7700 S BROADWAY,2.45,0.1085,0.1085,0.049
LOCKHEED MARTIN - SPINE ROAD,6304 SPINE RD,6.67477,0.052249,0.049944,0.300429
LOCKHEED MARTIN CMD & CNTRL SYS,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LOCKHEED MARTIN SPACE SYSTEMS COMPANY,12257 S WADSWORTH BLVD,42.745,4.289,3.821603217,21.553105
LOGAN,Unknown,0.00328412,0.0119593,0.00825189,0.0076027
LONE MOUNTAIN PRODUCTION CO.,NESE SEC 21 T9S R104W,6.4,0.015,0.015,0.100001
LONE TREE RANCH,Unknown,0.00301372,0.0109746,0.00757247,0.00697673
LONG'S PEAK DAIRY,45490 COUNTY ROAD 39,3.40898,0.23987,0.234264,0.181172
LONGMONT HUMANE SOCIETY,9595 NELSON RD,0.198092,0.222669,0.18957,0.11914
LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVE,5.5365,0.377078,0.377078,0.540399
LONGMONT UNITED HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LOOKOUT CENTER ROOFTOP,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LOOKOUT MOUNTAIN,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LOVELAND BASIN SKI AREA,EXIT 216 AT INTERSTATE 70,18.51539,1.301536,1.301536,1.51096
LOWE AIRSTRIP,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
LOWES HIW; INC- LOWES OF BRIGHTON 2479,4980 E BROMLEY LANE,0.3828,0.02013,0.019242,0.1287
LOWES HIW; INC- LOWES OF CSTL RCK 2274,1360 NEW BEALE ST,0.328,0.019682,0.018814,0.122
LOWES HIW; INC- LOWES OF LITTLETON 2419,5095 S SANTA FE DR,0.3705,0.020069,0.019184,0.120413
LOWES HIW; INC- LOWES OF LOUISVILLE 220,1171 DILLON RD,0.104167,0.0078,0.007456,0.033438
LOWES HIW; INC- LOWES OF PUEBLO 2742,2900 W PUEBLO BLVD,0.375,0.019682,0.018814,0.122
LOWES HIW; INC- LOWES OF PUEBLO 318,1225 W US HIGHWAY 50,0.104167,0.0078,0.007456,0.033438
LSG SKY CHEFS,27280 E 75TH AVE,2.261,0.06783,0.06783,0.119833
LUCKY L RANCH,Unknown,0.00279728,0.0101864,0.00702861,0.00647565
LUTHERAN MEDICAL CENTER,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
LUX FIELD,Unknown,0.00322238,0.0117344,0.00809674,0.00745975
M-I SWACO - RANGELY FACILITY,750 COUNTY ROAD 102,10.32,0.41,0.41,1.56
Mac Acquisition - MACARONI GRILL,7979 E ARAPAHOE RD,0.049998,0.650003,0.370255,5.71
MACK MESA,Unknown,0.1958406,0.3184135,0.2480665,0.428241
MADDEN PEAK,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
MAGPIE OPERATING- SHAMROCK SITE,NE/4 SEC 3 T2S R57W,7.4,0.0205,0.0205,8.20019
MALESICH & SHIREY FUNERAL HOME,6225 W 48TH AVE,0.6675,1.24312,1.05834,0.05625
MANHEIM REMARKETING,17500 E 32ND AVE,0.671731,0.047219,0.047219,0.054835
MANN,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
MANN RANCH,Unknown,0.00277778,0.0101154,0.00697961,0.00643051
MANNA PRO PRODUCTS LLC,4545 MADISON ST,4.89,1.821748,0.696337569,0.32
MANOR HOUSE,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
MARALEX RESOURCES; INC.,SE SE SEC 11 T08S R98W,23.1,0.0575,0.0575,0.200002
MARK'S FUNERAL AND CREMATION SERVICE,9293 EASTMAN PARK DR,0.63,2.13,1.813382,0.05
MARS PETCARE US; INC - PET FOOD MFG,1 DOANE PL,2.18422,5.003652,0.8206458,0.120099
MARSHDALE,Unknown,0.00339235,0.0123534,0.00852383,0.00785324
MARTIN,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
MARTIN MORTUARY,550 NORTH AVE,0.004,0.05,0.042568,0.11
